mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_1
5,0,3752,32,0.59
4,0,3368,808,0.55
8,4,3752,1416,0.64
15,9,4008,5736,0.55
2,0,1928,1352,0.66
7,2,104,1928,0.56
15,9,14112,3752,0.62
24,20,4264,6200,0.77
8,2,1800,1800,0.55
15,11,11448,680,0.74
5,0,968,616,0.51
13,7,6200,1928,0.53
15,11,2280,2792,0.68
15,10,12960,7480,0.72
22,19,8760,10680,0.68
20,17,18336,11832,0.71
7,2,1928,1800,0.56
4,0,3240,776,0.57
3,0,1256,1032,0.72
10,4,6200,2216,0.61
8,2,680,1416,0.7
25,20,5160,7224,0.59
4,0,1352,176,0.57
25,20,5736,7480,0.62
15,9,9144,296,0.57
5,0,1032,1128,0.55
3,0,1672,392,0.71
25,20,8504,19080,0.7
3,0,1224,16,0.6
20,18,8760,15264,0.68
25,20,28336,8760,0.63
5,0,1128,376,0.52
8,2,4968,1096,0.56
10,4,776,3496,0.77
2,0,1320,488,0.67
15,11,3112,4776,0.53
4,0,3496,1128,0.58
11,6,2984,3496,0.53
15,9,2600,136,0.74
7,2,3624,2088,0.6
15,12,2600,4968,0.55
15,10,4008,3752,0.64
7,2,3752,296,0.71
5,0,3112,488,0.64
22,19,19080,1800,0.57
7,2,2664,424,0.66
13,8,7224,2216,0.6
20,18,18336,1928,0.6
19,17,11832,11832,0.67
11,6,6968,4136,0.76
13,8,6712,1096,0.6
5,0,3368,1256,0.55
15,9,7736,616,0.61
20,17,16416,8760,0.62
24,20,26416,4008,0.59
15,10,552,6456,0.65
15,10,3752,4392,0.52
22,19,19848,6456,0.64
0,0,936,344,0.64
8,2,5544,144,0.66
24,20,21384,7480,0.58
10,4,3496,2152,0.74
5,0,424,776,0.5
15,10,9528,5160,0.56
7,2,5160,1064,0.73
20,18,6712,14112,0.66
25,20,5160,2792,0.65
20,18,12576,1608,0.58
2,0,1384,392,0.79
5,0,504,256,0.53
15,11,4264,8760,0.62
24,20,26416,16416,0.76
26,20,25456,4776,0.76
2,0,1672,1256,0.55
15,9,552,6968,0.67
11,6,6968,3496,0.56
15,9,14112,7992,0.67
18,15,5544,3112,0.51
7,2,2664,1672,0.62
20,17,5992,6968,0.54
8,4,1672,696,0.6
8,4,3880,696,0.51
25,20,22152,11064,0.65
18,14,15840,2856,0.75
24,20,5352,5992,0.54
15,10,6456,7736,0.69
26,20,19848,4776,0.59
8,4,4392,1352,0.63
10,4,4776,1480,0.51
15,12,14112,1800,0.55
19,17,6456,5544,0.5
15,9,552,6200,0.68
3,0,1160,536,0.74
18,14,14112,7736,0.6
20,17,17568,6456,0.6
2,0,2216,744,0.69
20,18,12576,3624,0.66
10,4,6200,2344,0.78
22,19,16992,1064,0.58
19,17,18336,4008,0.54
15,10,12216,1864,0.64
18,15,6712,7480,0.75
4,0,328,456,0.66
10,4,3496,2216,0.58
26,20,10296,13536,0.76
8,2,4968,696,0.6
6,1,4968,872,0.69
11,6,1032,3368,0.51
15,9,2856,2856,0.59
26,20,29296,7224,0.63
6,1,392,1064,0.77
3,0,744,1032,0.59
24,20,3752,15264,0.61
24,20,6968,14112,0.62
6,1,5160,56,0.57
7,2,3880,872,0.58
15,12,256,6712,0.57
20,17,12216,600,0.74
11,6,8760,1736,0.66
7,2,2984,744,0.64
15,10,3496,3112,0.55
13,8,2728,3880,0.55
15,11,14112,1544,0.67
20,18,2792,15840,0.77
15,12,840,4968,0.61
2,0,1800,456,0.51
8,2,4776,472,0.63
15,9,6200,2344,0.67
13,7,4392,4136,0.54
3,0,208,1160,0.65
15,10,5160,3112,0.54
26,20,19848,18336,0.76
15,10,13536,2216,0.65
5,0,3112,776,0.6
18,15,4264,5160,0.56
19,17,11832,6456,0.7
8,4,6712,1608,0.54
7,2,1320,2024,0.61
8,4,6968,2792,0.63
8,2,3368,1864,0.64
20,17,16416,4584,0.65
4,0,1864,16,0.59
6,1,4776,1256,0.62
15,12,2600,8504,0.72
22,19,11064,7992,0.57
19,17,16416,2728,0.54
3,0,104,1160,0.52
15,10,9528,2024,0.76
13,8,7480,1384,0.75
8,2,2664,696,0.52
7,2,5736,1736,0.63
11,6,2664,2408,0.59
18,15,4584,11064,0.62
25,20,15840,16992,0.73
4,0,1192,808,0.59
24,20,12576,12576,0.62
10,4,296,1480,0.58
8,2,2536,1864,0.6
2,0,424,1352,0.57
8,4,3880,3496,0.58
6,1,712,600,0.55
22,19,14688,336,0.71
7,2,4968,256,0.62
24,20,19080,10296,0.61
7,2,968,1544,0.63
