mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,mcs_dl_3,mcs_ul_3,dl_kbps_3,ul_kbps_3,mcs_dl_4,mcs_ul_4,dl_kbps_4,ul_kbps_4,cpu_1,cpu_2,cpu_3,cpu_5,cpu_6,cpu_7
10,4,776,2088,15,12,8248,2984,25,20,28336,6200,4,0,2344,256,0.5,0.41,0.38,0.35,0.28,0.27
10,4,7224,1992,4,0,2664,872,20,18,5992,4264,22,19,2344,4776,0.42,0.42,0.39,0.37,0.27,0.27
13,7,11448,4584,26,20,26416,17568,15,9,9528,136,8,4,2088,488,0.63,0.47,0.36,0.32,0.3,0.29
19,17,8248,4008,24,20,6456,19848,15,12,1128,2024,22,19,5160,4392,0.54,0.4,0.39,0.35,0.28,0.28
18,14,6456,4136,8,2,2792,296,15,9,12216,2664,19,17,17568,6200,0.48,0.41,0.39,0.33,0.27,0.27
6,1,1992,904,18,14,2984,3624,18,15,1608,13536,8,2,4584,1608,0.51,0.44,0.4,0.37,0.29,0.29
20,18,14112,11448,8,2,4264,840,13,8,6712,4776,18,14,8760,11448,0.56,0.54,0.45,0.41,0.33,0.33
26,20,21384,12216,11,6,872,3752,22,19,14688,8760,11,6,5736,3240,0.56,0.49,0.43,0.4,0.32,0.31
4,0,696,56,20,17,776,5544,6,1,712,144,26,20,18336,14112,0.55,0.39,0.29,0.28,0.26,0.25
8,4,2664,1000,3,0,1864,1320,26,20,21384,776,25,20,7480,376,0.44,0.41,0.36,0.34,0.26,0.26
25,20,1128,6712,5,0,3112,1384,22,19,15264,14688,15,10,6968,3496,0.59,0.45,0.42,0.4,0.31,0.3
19,17,13536,10680,20,17,5992,7736,11,6,4264,1864,10,4,3624,776,0.54,0.45,0.39,0.36,0.29,0.29
18,15,7224,7736,4,0,1416,424,24,20,8504,17568,8,4,6456,3112,0.56,0.47,0.46,0.38,0.31,0.31
26,20,23688,18336,13,8,3368,1384,15,9,7480,1736,22,19,11064,17568,0.65,0.58,0.37,0.35,0.33,0.33
